33 by 246 matrix 	 2.28069 Gflop/s
33 by 245 matrix 	 2.27805 Gflop/s
33 by 244 matrix 	 2.28325 Gflop/s
33 by 243 matrix 	 2.29132 Gflop/s
33 by 242 matrix 	 2.29208 Gflop/s
33 by 241 matrix 	 2.29194 Gflop/s
33 by 240 matrix 	 2.29698 Gflop/s
33 by 239 matrix 	 2.29883 Gflop/s
33 by 238 matrix 	 2.2975 Gflop/s
33 by 237 matrix 	 2.3036 Gflop/s
33 by 236 matrix 	 2.30461 Gflop/s
33 by 235 matrix 	 2.30928 Gflop/s
33 by 234 matrix 	 2.31699 Gflop/s
33 by 233 matrix 	 2.32607 Gflop/s
33 by 232 matrix 	 2.32239 Gflop/s
33 by 231 matrix 	 2.33681 Gflop/s
33 by 230 matrix 	 2.34232 Gflop/s
33 by 229 matrix 	 2.35038 Gflop/s
33 by 228 matrix 	 2.35922 Gflop/s
33 by 227 matrix 	 2.36788 Gflop/s
33 by 226 matrix 	 2.37607 Gflop/s
33 by 225 matrix 	 2.39224 Gflop/s
33 by 224 matrix 	 2.40836 Gflop/s
33 by 223 matrix 	 2.41367 Gflop/s
33 by 222 matrix 	 2.42916 Gflop/s
33 by 221 matrix 	 2.43573 Gflop/s
33 by 220 matrix 	 2.44474 Gflop/s
33 by 219 matrix 	 2.46369 Gflop/s
33 by 218 matrix 	 2.48355 Gflop/s
33 by 217 matrix 	 2.49674 Gflop/s
33 by 216 matrix 	 2.49916 Gflop/s
33 by 215 matrix 	 2.49896 Gflop/s
33 by 214 matrix 	 2.48708 Gflop/s
33 by 213 matrix 	 2.50273 Gflop/s
33 by 212 matrix 	 2.51282 Gflop/s
33 by 211 matrix 	 2.51314 Gflop/s
33 by 210 matrix 	 2.51854 Gflop/s
33 by 209 matrix 	 2.5245 Gflop/s
33 by 208 matrix 	 2.52111 Gflop/s
33 by 207 matrix 	 2.5193 Gflop/s
33 by 206 matrix 	 2.5231 Gflop/s
33 by 205 matrix 	 2.51667 Gflop/s
33 by 204 matrix 	 2.52042 Gflop/s
33 by 203 matrix 	 2.53636 Gflop/s
33 by 202 matrix 	 2.5504 Gflop/s
33 by 201 matrix 	 2.56391 Gflop/s
33 by 200 matrix 	 2.56965 Gflop/s
33 by 199 matrix 	 2.58177 Gflop/s
33 by 198 matrix 	 2.59261 Gflop/s
33 by 197 matrix 	 2.60357 Gflop/s
33 by 196 matrix 	 2.61445 Gflop/s
33 by 195 matrix 	 2.63209 Gflop/s
33 by 194 matrix 	 2.65546 Gflop/s
33 by 193 matrix 	 2.67312 Gflop/s
33 by 192 matrix 	 2.68868 Gflop/s
33 by 191 matrix 	 2.69988 Gflop/s
33 by 190 matrix 	 2.70488 Gflop/s
33 by 189 matrix 	 2.72283 Gflop/s
33 by 188 matrix 	 2.73835 Gflop/s
33 by 187 matrix 	 2.76692 Gflop/s
33 by 186 matrix 	 2.78473 Gflop/s
33 by 185 matrix 	 2.78312 Gflop/s
33 by 184 matrix 	 2.78381 Gflop/s
33 by 183 matrix 	 2.79238 Gflop/s
33 by 182 matrix 	 2.80208 Gflop/s
33 by 181 matrix 	 2.80981 Gflop/s
33 by 180 matrix 	 2.8119 Gflop/s
33 by 179 matrix 	 2.8155 Gflop/s
33 by 178 matrix 	 2.81614 Gflop/s
33 by 177 matrix 	 2.81749 Gflop/s
33 by 176 matrix 	 2.80989 Gflop/s
33 by 175 matrix 	 2.79427 Gflop/s
33 by 174 matrix 	 2.79141 Gflop/s
33 by 173 matrix 	 2.8065 Gflop/s
33 by 172 matrix 	 2.80819 Gflop/s
33 by 171 matrix 	 2.82286 Gflop/s
33 by 170 matrix 	 2.84433 Gflop/s
33 by 169 matrix 	 2.86199 Gflop/s
33 by 168 matrix 	 2.8795 Gflop/s
33 by 167 matrix 	 2.89977 Gflop/s
33 by 166 matrix 	 2.92174 Gflop/s
33 by 165 matrix 	 2.94445 Gflop/s
33 by 164 matrix 	 2.96401 Gflop/s
33 by 163 matrix 	 2.98753 Gflop/s
33 by 162 matrix 	 3.01957 Gflop/s
33 by 161 matrix 	 3.0432 Gflop/s
33 by 160 matrix 	 3.06112 Gflop/s
33 by 159 matrix 	 3.07283 Gflop/s
33 by 158 matrix 	 3.11064 Gflop/s
33 by 157 matrix 	 3.1456 Gflop/s
33 by 156 matrix 	 3.19647 Gflop/s
33 by 155 matrix 	 3.22071 Gflop/s
33 by 154 matrix 	 3.20762 Gflop/s
33 by 153 matrix 	 3.22272 Gflop/s
33 by 152 matrix 	 3.26123 Gflop/s
33 by 151 matrix 	 3.29538 Gflop/s
33 by 150 matrix 	 3.34173 Gflop/s
33 by 149 matrix 	 3.35913 Gflop/s
33 by 148 matrix 	 3.36674 Gflop/s
33 by 147 matrix 	 3.37577 Gflop/s
33 by 146 matrix 	 3.37135 Gflop/s
33 by 145 matrix 	 3.36852 Gflop/s
33 by 144 matrix 	 3.37003 Gflop/s
33 by 143 matrix 	 3.36444 Gflop/s
33 by 142 matrix 	 3.35085 Gflop/s
33 by 141 matrix 	 3.35229 Gflop/s
33 by 140 matrix 	 3.37336 Gflop/s
33 by 139 matrix 	 3.42571 Gflop/s
33 by 138 matrix 	 3.55233 Gflop/s
33 by 137 matrix 	 3.66735 Gflop/s
33 by 136 matrix 	 3.71792 Gflop/s
33 by 135 matrix 	 3.74726 Gflop/s
