33 by 265 matrix 	 2.04413 Gflop/s
33 by 264 matrix 	 2.05098 Gflop/s
33 by 263 matrix 	 2.05791 Gflop/s
33 by 262 matrix 	 2.0792 Gflop/s
33 by 261 matrix 	 2.09479 Gflop/s
33 by 260 matrix 	 2.1075 Gflop/s
33 by 259 matrix 	 2.11483 Gflop/s
33 by 258 matrix 	 2.12216 Gflop/s
33 by 257 matrix 	 2.1399 Gflop/s
33 by 256 matrix 	 2.15501 Gflop/s
33 by 255 matrix 	 2.16918 Gflop/s
33 by 254 matrix 	 2.18347 Gflop/s
33 by 253 matrix 	 2.20952 Gflop/s
33 by 252 matrix 	 2.22358 Gflop/s
33 by 251 matrix 	 2.23975 Gflop/s
33 by 250 matrix 	 2.24786 Gflop/s
33 by 249 matrix 	 2.26754 Gflop/s
33 by 248 matrix 	 2.27384 Gflop/s
33 by 247 matrix 	 2.27925 Gflop/s
33 by 246 matrix 	 2.28048 Gflop/s
33 by 245 matrix 	 2.28326 Gflop/s
33 by 244 matrix 	 2.28352 Gflop/s
33 by 243 matrix 	 2.29285 Gflop/s
33 by 242 matrix 	 2.29403 Gflop/s
33 by 241 matrix 	 2.30108 Gflop/s
33 by 240 matrix 	 2.30174 Gflop/s
33 by 239 matrix 	 2.29909 Gflop/s
33 by 238 matrix 	 2.31239 Gflop/s
33 by 237 matrix 	 2.31257 Gflop/s
33 by 236 matrix 	 2.31047 Gflop/s
33 by 235 matrix 	 2.31851 Gflop/s
33 by 234 matrix 	 2.32142 Gflop/s
33 by 233 matrix 	 2.32784 Gflop/s
33 by 232 matrix 	 2.33208 Gflop/s
33 by 231 matrix 	 2.34064 Gflop/s
33 by 230 matrix 	 2.34998 Gflop/s
33 by 229 matrix 	 2.35736 Gflop/s
33 by 228 matrix 	 2.36535 Gflop/s
33 by 227 matrix 	 2.37361 Gflop/s
33 by 226 matrix 	 2.38973 Gflop/s
33 by 225 matrix 	 2.39844 Gflop/s
33 by 224 matrix 	 2.41222 Gflop/s
33 by 223 matrix 	 2.42239 Gflop/s
33 by 222 matrix 	 2.43604 Gflop/s
33 by 221 matrix 	 2.44475 Gflop/s
33 by 220 matrix 	 2.44796 Gflop/s
33 by 219 matrix 	 2.46583 Gflop/s
33 by 218 matrix 	 2.48044 Gflop/s
33 by 217 matrix 	 2.49984 Gflop/s
33 by 216 matrix 	 2.49338 Gflop/s
33 by 215 matrix 	 2.48793 Gflop/s
33 by 214 matrix 	 2.50303 Gflop/s
33 by 213 matrix 	 2.50573 Gflop/s
33 by 212 matrix 	 2.5152 Gflop/s
33 by 211 matrix 	 2.51949 Gflop/s
33 by 210 matrix 	 2.51893 Gflop/s
33 by 209 matrix 	 2.5262 Gflop/s
33 by 208 matrix 	 2.52003 Gflop/s
33 by 207 matrix 	 2.51578 Gflop/s
33 by 206 matrix 	 2.52285 Gflop/s
33 by 205 matrix 	 2.51954 Gflop/s
33 by 204 matrix 	 2.53408 Gflop/s
33 by 203 matrix 	 2.53735 Gflop/s
33 by 202 matrix 	 2.55293 Gflop/s
33 by 201 matrix 	 2.56808 Gflop/s
33 by 200 matrix 	 2.57332 Gflop/s
33 by 199 matrix 	 2.5887 Gflop/s
33 by 198 matrix 	 2.59978 Gflop/s
33 by 197 matrix 	 2.60362 Gflop/s
33 by 196 matrix 	 2.62166 Gflop/s
33 by 195 matrix 	 2.63461 Gflop/s
33 by 194 matrix 	 2.65471 Gflop/s
33 by 193 matrix 	 2.67648 Gflop/s
33 by 192 matrix 	 2.69319 Gflop/s
33 by 191 matrix 	 2.695 Gflop/s
33 by 190 matrix 	 2.70853 Gflop/s
33 by 189 matrix 	 2.72387 Gflop/s
33 by 188 matrix 	 2.74274 Gflop/s
33 by 187 matrix 	 2.75695 Gflop/s
33 by 186 matrix 	 2.78715 Gflop/s
33 by 185 matrix 	 2.77913 Gflop/s
33 by 184 matrix 	 2.77887 Gflop/s
33 by 183 matrix 	 2.79062 Gflop/s
33 by 182 matrix 	 2.79152 Gflop/s
33 by 181 matrix 	 2.80713 Gflop/s
33 by 180 matrix 	 2.80987 Gflop/s
33 by 179 matrix 	 2.81098 Gflop/s
33 by 178 matrix 	 2.81572 Gflop/s
33 by 177 matrix 	 2.81522 Gflop/s
33 by 176 matrix 	 2.80708 Gflop/s
33 by 175 matrix 	 2.8036 Gflop/s
33 by 174 matrix 	 2.79904 Gflop/s
33 by 173 matrix 	 2.79467 Gflop/s
33 by 172 matrix 	 2.80541 Gflop/s
33 by 171 matrix 	 2.8257 Gflop/s
33 by 170 matrix 	 2.84017 Gflop/s
33 by 169 matrix 	 2.8611 Gflop/s
33 by 168 matrix 	 2.88085 Gflop/s
33 by 167 matrix 	 2.89106 Gflop/s
33 by 166 matrix 	 2.91762 Gflop/s
33 by 165 matrix 	 2.93658 Gflop/s
33 by 164 matrix 	 2.96305 Gflop/s
33 by 163 matrix 	 2.98294 Gflop/s
33 by 162 matrix 	 3.01285 Gflop/s
33 by 161 matrix 	 3.03957 Gflop/s
33 by 160 matrix 	 3.05574 Gflop/s
33 by 159 matrix 	 3.07381 Gflop/s
33 by 158 matrix 	 3.10008 Gflop/s
33 by 157 matrix 	 3.1367 Gflop/s
33 by 156 matrix 	 3.18208 Gflop/s
33 by 155 matrix 	 3.21452 Gflop/s
33 by 154 matrix 	 3.19997 Gflop/s
33 by 153 matrix 	 3.21977 Gflop/s
33 by 152 matrix 	 3.25184 Gflop/s
33 by 151 matrix 	 3.29122 Gflop/s
33 by 150 matrix 	 3.33361 Gflop/s
33 by 149 matrix 	 3.35217 Gflop/s
33 by 148 matrix 	 3.36023 Gflop/s
33 by 147 matrix 	 3.37006 Gflop/s
33 by 146 matrix 	 3.36344 Gflop/s
33 by 145 matrix 	 3.3655 Gflop/s
33 by 144 matrix 	 3.36299 Gflop/s
33 by 143 matrix 	 3.3506 Gflop/s
33 by 142 matrix 	 3.33708 Gflop/s
33 by 141 matrix 	 3.34148 Gflop/s
33 by 140 matrix 	 3.36042 Gflop/s
33 by 139 matrix 	 3.41699 Gflop/s
33 by 138 matrix 	 3.54869 Gflop/s
33 by 137 matrix 	 3.65417 Gflop/s
33 by 136 matrix 	 3.70034 Gflop/s
33 by 135 matrix 	 3.73826 Gflop/s
33 by 134 matrix 	 3.76555 Gflop/s
33 by 133 matrix 	 3.7923 Gflop/s
33 by 132 matrix 	 3.81433 Gflop/s
33 by 131 matrix 	 3.82589 Gflop/s
33 by 130 matrix 	 3.84879 Gflop/s
33 by 129 matrix 	 3.87372 Gflop/s
33 by 128 matrix 	 3.90361 Gflop/s
33 by 127 matrix 	 3.92523 Gflop/s
33 by 126 matrix 	 3.94766 Gflop/s
